StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,B1_Q1,B1_Q2,B1_Q3,B1_Q4,B1_Q5,B1_Q6,B1_Q7,B1_Q8,B2_Q1,B2_Q2,B2_Q3,B2_Q4,B2_Q5,B2_Q6,B2_Q7,B2_Q8,B3_Q1,B3_Q2,B3_Q3,B3_Q4,B3_Q5,B3_Q6,B3_Q7,B3_Q8,age,gender,budget,diet,Q31_1,Q31_2,Q31_3,Random ID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"[1/8] Which would you choose for your Friday night dinner?

The three options are across the top, and their characteristics are shown in the table. 



 

Notes: Table service refers to a restaurant where a waiter serves you at your seat, as opposed to a ""fast-food"" style restaurant where you order at a counter. Mensa/school cafeteria is included in non-table service restaurants. Travel time is the time in minutes from your home to the restaurant.",[2/8] Which would you choose for your Friday night dinner?,[3/8] Which would you choose for your Friday night dinner?,[4/8] Which would you choose for your Friday night dinner?,[5/8] Which would you choose for your Friday night dinner?,[6/8] Which would you choose for your Friday night dinner?,[7/8] Which would you choose for your Friday night dinner?,[8/8] Which would you choose for your Friday night dinner?,"[1/8] Which would you choose for your Friday night dinner? 

The three options are across the top, and their characteristics are shown in the table.





Note: Table service refers to a restaurant where a waiter serves you at your seat, as opposed to a ""fast-food"" style restaurant where you order at a counter. Mensa/school cafeteria is included in non-table service restaurants. Travel time is the time in minutes from your home to the restaurant.",[2/8] Which would you choose for your Friday night dinner?,[3/8] Which would you choose for your Friday night dinner?,[4/8] Which would you choose for your Friday night dinner?,[5/8] Which would you choose for your Friday night dinner?,[6/8] Which would you choose for your Friday night dinner?,[7/8] Which would you choose for your Friday night dinner?,[8/8] Which would you choose for your Friday night dinner?,"[1/8] Which would you choose for your Friday night dinner? 

The three options are across the top, and their characteristics are shown in the table.





Note: Table service refers to a restaurant where a waiter serves you at your seat, as opposed to a ""fast-food"" style restaurant where you order at a counter. Mensa/school cafeteria is included in non-table service restaurants.  Travel time is the time in minutes from your home to the restaurant.",[2/8] Which would you choose for your Friday night dinner?,[3/8] Which would you choose for your Friday night dinner?,[4/8] Which would you choose for your Friday night dinner?,[5/8] Which would you choose for your Friday night dinner?,[6/8] Which would you choose for your Friday night dinner?,[7/8] Which would you choose for your Friday night dinner?,[8/8] Which would you choose for your Friday night dinner?,What is your age?,What is your gender?,"What is your total monthly budget for spending? [On all expenditures, including rent, food, insurance, bills, leisure, etc. Not including savings and taxes.]","Do you have any dietary preferences and/or restrictions? Select all that apply, or leave blank if none.",How often do you do the following for dinner? - Cook,How often do you do the following for dinner? - Order delivery,How often do you do the following for dinner? - Eat at a restaurant (including fast food and school cafeteria),Random ID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""Europe/Zurich""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Zurich""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Zurich""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID13""}","{""ImportId"":""QID2""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID10""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2023-05-03 13:19:26,2023-05-03 13:22:54,IP Address,130.229.134.41,100,207,True,2023-05-03 13:22:55,R_3HiPQ7vPO6ebfih,,,,,59.3287,18.0717,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Cooking,Cooking,Cooking,Restaurant,Restaurant,,,,,,,,,22,Male,1000-1500 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),2,
2023-05-03 13:18:28,2023-05-03 13:23:25,IP Address,92.184.102.226,100,297,True,2023-05-03 13:23:25,R_2QgH3gMMrPF4mO4,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Cooking,Cooking,Delivery,Restaurant,Restaurant,,,,,,,,,23,Female,1000-1500 CHF,Vegetarian,Sometimes (1-4 times a week),Infrequently (a few times a month or less),Sometimes (1-4 times a week),2,
2023-05-03 13:20:39,2023-05-03 13:25:35,IP Address,92.34.13.149,100,296,True,2023-05-03 13:25:36,R_2R2m8oS7Vzc8RYZ,,,,,59.3591,17.9948,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Restaurant,Restaurant,Cooking,Restaurant,Cooking,Cooking,Cooking,23,Female,1000-1500 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),3,
2023-05-03 13:34:10,2023-05-03 13:38:21,IP Address,92.184.105.11,100,251,True,2023-05-03 13:38:22,R_2dFIoMylUM8SK0L,,,,,48.8323,2.4075,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Cooking,Cooking,Delivery,Cooking,Restaurant,,,,,,,,,24,Male,< 1000 CHF,,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),2,
2023-05-03 13:39:24,2023-05-03 13:42:45,IP Address,92.184.110.33,100,200,True,2023-05-03 13:42:45,R_3dQcpPwUbFtnxcs,,,,,48.8582,2.3387,anonymous,EN,Cooking,Delivery,Cooking,Restaurant,Cooking,Cooking,Delivery,Restaurant,,,,,,,,,,,,,,,,,24,Female,1000-1500 CHF,,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),1,
2023-05-03 13:57:51,2023-05-03 13:59:31,IP Address,92.184.124.96,100,99,True,2023-05-03 13:59:32,R_RkRHMk1Bg3zjKgN,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Delivery,Cooking,Delivery,Cooking,Restaurant,,,,,,,,,22,Female,1000-1500 CHF,Vegetarian,Usually (5+ times/week on average),Never,Infrequently (a few times a month or less),2,
2023-05-03 14:06:19,2023-05-03 14:09:32,IP Address,93.23.13.245,100,193,True,2023-05-03 14:09:33,R_3fehxje9YGaAbJQ,,,,,48.8323,2.4075,anonymous,EN,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,,,,,,,,,,,,,,,,,23,Female,< 1000 CHF,,Usually (5+ times/week on average),Never,Infrequently (a few times a month or less),1,
2023-05-03 14:14:46,2023-05-03 14:18:00,IP Address,80.215.90.219,100,194,True,2023-05-03 14:18:01,R_27VHdcaIgwb3ymm,,,,,48.8611,2.3269,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Cooking,Restaurant,Cooking,Restaurant,Cooking,Restaurant,Cooking,24,Male,1000-1500 CHF,,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),3,
